input_size,comp,swap,basic,time,mem
8837,416010,208005,2349916,224775333,154428
8838,419518,209759,2369217,615998250,154460
8839,422690,211345,2386670,223676500,154268
8840,421476,210738,2380000,236311041,154588
8841,417788,208894,2359723,233217083,153980
8842,420806,210403,2376329,238413166,154300
8843,424436,212218,2396301,225801708,153948
8844,423614,211807,2391787,227751917,154172
8845,419814,209907,2370894,221378333,154492
8846,415154,207577,2345271,214181666,154236
8847,414162,207081,2339822,215977750,154556
8848,416362,208181,2351929,210638500,154812
8849,419664,209832,2370097,218867667,154108
8850,418070,209035,2361337,210331417,154940
8851,417904,208952,2360431,218373875,154076
8852,417674,208837,2359173,209763917,154332
8853,425544,212772,2402465,215857250,154492
8854,422646,211323,2386533,214977667,154364
8855,423090,211545,2388982,212030708,154460
8856,423088,211544,2388978,211821166,154812
8857,425290,212645,2401096,215851792,154076
8858,421900,210950,2382458,213757958,154428
8859,419722,209861,2370486,212670542,154332
8860,418616,209308,2364410,211567625,154972
8861,421216,210608,2378717,216708792,154460
8862,423600,211800,2391836,212613958,154204
8863,422926,211463,2388136,211768041,153724
8864,424098,212049,2394589,214874375,154236
8865,420910,210455,2377062,213756500,155004
8866,423104,211552,2389136,212737750,154556
8867,425356,212678,2401529,193901417,154716
8868,418836,209418,2365676,175778041,154780
8869,420398,210199,2374274,179807042,154268
8870,420916,210458,2377130,179994459,154972
8871,422590,211295,2386344,185804459,154556
8872,419940,209970,2371776,182285416,154108
8873,426748,213374,2409227,184790709,154972
8874,424092,212046,2394626,185014334,154332
8875,423444,211722,2391069,186182958,154940
8876,422792,211396,2387490,186436833,155132
8877,421416,210708,2379929,184770500,154684
8878,423170,211585,2389583,183831542,154300
8879,422932,211466,2388281,185490791,154972
8880,428998,214499,2421651,189611375,154524
8881,423938,211969,2393828,199770625,154300
8882,429270,214635,2423161,228562167,155420
8883,423106,211553,2389266,220313083,154908
8884,422182,211091,2384191,563878292,154556
8885,422716,211358,2387135,225447208,154172
8886,424294,212147,2395821,219767125,154556
8887,420786,210393,2376534,202797791,154748
8888,428838,214419,2420827,202997250,155164
8889,424986,212493,2399648,206924875,154780
8890,422438,211219,2385641,203532208,154972
8891,422584,211292,2386451,202973250,154972
8892,424112,212056,2394862,203897541,155324
8893,425696,212848,2403581,212752709,154940
8894,423924,211962,2393842,208007083,155484
8895,427244,213622,2412109,202987292,154876
8896,422998,211499,2388763,205178958,154780
8897,421296,210648,2379409,201994916,154716
8898,421666,210833,2381451,200937833,154588
8899,429580,214790,2424985,206705708,155516
8900,427370,213685,2412837,203865875,154492
8901,425836,212918,2404407,202737750,154972
8902,424592,212296,2397572,207083584,154972
8903,423010,211505,2388878,202799125,155292
8904,419804,209902,2371252,204473292,154492
8905,424370,212185,2396372,204274041,155644
8906,424516,212258,2397182,203794208,155260
8907,424460,212230,2396881,207794583,155420
8908,423212,211606,2390024,301787584,154556
8909,422636,211318,2386863,223924625,155292
8910,424414,212207,2396649,223491125,155676
8911,426572,213286,2408525,222816167,155548
8912,426596,213298,2408664,222552000,154652
8913,428270,214135,2417878,231745042,154716
8914,427616,213808,2414288,219214583,155100
8915,427350,213675,2412832,226606208,154876
8916,429910,214955,2426919,220011667,155452
8917,426298,213149,2407060,219786458,155388
8918,431642,215821,2436459,225113084,155644
8919,427576,213788,2414103,222493125,155100
8920,428002,214001,2416453,525105292,154844
8921,427208,213604,2412093,219319958,155068
8922,424264,212132,2395908,218379292,155484
8923,430532,215266,2430389,224534542,155420
8924,425426,212713,2402313,220705709,155932
8925,426386,213193,2407600,219686166,154364
8926,427148,213574,2411798,224412292,154876
8927,426470,213235,2408076,222327334,155100
8928,424512,212256,2397314,216926041,154748
8929,427998,213999,2416494,219977958,154972
8930,425646,212823,2403565,217243917,155356
8931,429298,214649,2423658,219344000,155644
8932,431572,215786,2436172,222113708,155100
8933,429110,214555,2422638,218622791,155164
8934,424950,212475,2399765,224259209,155644
